Index: 110, Obs: 16.00444, Tipo de mensaje: m2
Index: 111, Obs: 16.49450, Tipo de mensaje: m2
Index: 112, Obs: 27.26060, Tipo de mensaje: m2
Index: 113, Obs: 19.43403, Tipo de mensaje: m2
Index: 114, Obs: 16.56712, Tipo de mensaje: m2
Index: 115, Obs: 15.40488, Tipo de mensaje: m2
Index: 116, Obs: 14.63646, Tipo de mensaje: m1
Index: 117, Obs: 17.42534, Tipo de mensaje: m2
Index: 118, Obs: 18.72506, Tipo de mensaje: m2
Index: 119, Obs: 29.12312, Tipo de mensaje: m2
Index: 120, Obs: 22.11076, Tipo de mensaje: m2
Index: 121, Obs: 19.54051, Tipo de mensaje: m2
Index: 122, Obs: 17.30438, Tipo de mensaje: m2
Index: 123, Obs: 21.70533, Tipo de mensaje: m2
Index: 124, Obs: 20.49830, Tipo de mensaje: m2
Index: 125, Obs: 16.21093, Tipo de mensaje: m2
Index: 126, Obs: 22.90168, Tipo de mensaje: m2
Index: 127, Obs: 19.01534, Tipo de mensaje: m2
Index: 128, Obs: 19.21242, Tipo de mensaje: m2
Index: 129, Obs: 15.73883, Tipo de mensaje: m2
Index: 130, Obs: 18.02858, Tipo de mensaje: m2
Index: 131, Obs: 17.02570, Tipo de mensaje: m2
Index: 132, Obs: 24.16069, Tipo de mensaje: m2
Index: 133, Obs: 20.08802, Tipo de mensaje: m2
Index: 134, Obs: 19.35832, Tipo de mensaje: m2
Index: 135, Obs: 20.13421, Tipo de mensaje: m2
Index: 136, Obs: 18.15240, Tipo de mensaje: m2
Index: 137, Obs: 22.06414, Tipo de mensaje: m2
Index: 138, Obs: 17.68510, Tipo de mensaje: m2
Index: 139, Obs: 19.91614, Tipo de mensaje: m2
Index: 140, Obs: 19.64504, Tipo de mensaje: m2
Index: 141, Obs: 15.94364, Tipo de mensaje: m2
Index: 142, Obs: 16.09381, Tipo de mensaje: m2
Index: 143, Obs: 23.94807, Tipo de mensaje: m2
Index: 144, Obs: 22.85478, Tipo de mensaje: m2
Index: 145, Obs: 16.40051, Tipo de mensaje: m2
Index: 146, Obs: 15.69568, Tipo de mensaje: m2
Index: 147, Obs: 22.50454, Tipo de mensaje: m2
Index: 148, Obs: 21.45807, Tipo de mensaje: m2
Index: 149, Obs: 21.47760, Tipo de mensaje: m2
Index: 150, Obs: 21.37490, Tipo de mensaje: m2
Index: 151, Obs: 15.62399, Tipo de mensaje: m2
Index: 152, Obs: 15.04762, Tipo de mensaje: m2
Index: 153, Obs: 23.30555, Tipo de mensaje: m2
Index: 154, Obs: 29.69542, Tipo de mensaje: m2
Index: 155, Obs: 15.46822, Tipo de mensaje: m2
Index: 156, Obs: 15.89897, Tipo de mensaje: m2
Index: 157, Obs: 15.67560, Tipo de mensaje: m2
Index: 158, Obs: 14.63369, Tipo de mensaje: m1
Index: 159, Obs: 19.97952, Tipo de mensaje: m2
Index: 160, Obs: 10.39124, Tipo de mensaje: m1
Index: 161, Obs: 22.50633, Tipo de mensaje: m2
Index: 162, Obs: 16.86738, Tipo de mensaje: m2
Index: 163, Obs: 15.08701, Tipo de mensaje: m2
Index: 164, Obs: 17.33198, Tipo de mensaje: m2
Index: 165, Obs: 18.08751, Tipo de mensaje: m2
Index: 166, Obs: 24.93974, Tipo de mensaje: m2
Index: 167, Obs: 14.36492, Tipo de mensaje: m1
Index: 168, Obs: 22.42468, Tipo de mensaje: m2
Index: 169, Obs: 15.30990, Tipo de mensaje: m2
Index: 170, Obs: 21.62234, Tipo de mensaje: m2
Index: 171, Obs: 20.35315, Tipo de mensaje: m2
Index: 172, Obs: 18.26487, Tipo de mensaje: m2
Index: 173, Obs: 20.82233, Tipo de mensaje: m2
Index: 174, Obs: 21.11928, Tipo de mensaje: m2
Index: 175, Obs: 25.36196, Tipo de mensaje: m2
Index: 176, Obs: 14.79398, Tipo de mensaje: m1
Index: 177, Obs: 22.64978, Tipo de mensaje: m2
Index: 178, Obs: 22.74698, Tipo de mensaje: m2
Index: 179, Obs: 22.78086, Tipo de mensaje: m2
Index: 180, Obs: 24.29151, Tipo de mensaje: m2
Index: 181, Obs: 20.09195, Tipo de mensaje: m2
Index: 182, Obs: 20.96576, Tipo de mensaje: m2
Index: 183, Obs: 21.92112, Tipo de mensaje: m2
Index: 184, Obs: 21.64771, Tipo de mensaje: m2
Index: 185, Obs: 16.17944, Tipo de mensaje: m2
Index: 186, Obs: 15.39255, Tipo de mensaje: m2
Index: 187, Obs: 16.98554, Tipo de mensaje: m2
Index: 188, Obs: 18.38322, Tipo de mensaje: m2
Index: 189, Obs: 14.90324, Tipo de mensaje: m1
Index: 190, Obs: 26.21022, Tipo de mensaje: m2
Index: 191, Obs: 29.85304, Tipo de mensaje: m2
Index: 192, Obs: 14.23645, Tipo de mensaje: m1
Index: 193, Obs: 25.32394, Tipo de mensaje: m2
Index: 194, Obs: 23.32586, Tipo de mensaje: m2
Index: 195, Obs: 20.12215, Tipo de mensaje: m2
Index: 196, Obs: 18.44159, Tipo de mensaje: m2
Index: 197, Obs: 18.66710, Tipo de mensaje: m2
Index: 198, Obs: 15.63558, Tipo de mensaje: m2
Index: 199, Obs: 19.97096, Tipo de mensaje: m2
Index: 200, Obs: 22.22070, Tipo de mensaje: m2
Index: 201, Obs: 24.74134, Tipo de mensaje: m2
Index: 202, Obs: 15.02041, Tipo de mensaje: m1
Index: 203, Obs: 18.33568, Tipo de mensaje: m2
Index: 204, Obs: 20.66885, Tipo de mensaje: m2
Index: 205, Obs: 23.08560, Tipo de mensaje: m2
Index: 206, Obs: 17.95542, Tipo de mensaje: m2
Index: 207, Obs: 21.57585, Tipo de mensaje: m2
Index: 208, Obs: 14.18451, Tipo de mensaje: m1
Index: 209, Obs: 25.28197, Tipo de mensaje: m2
Index: 210, Obs: 22.65553, Tipo de mensaje: m2
Index: 211, Obs: 17.97377, Tipo de mensaje: m2
Index: 212, Obs: 20.16182, Tipo de mensaje: m2
Index: 213, Obs: 15.83893, Tipo de mensaje: m2
Index: 214, Obs: 26.40174, Tipo de mensaje: m2
Index: 215, Obs: 15.65336, Tipo de mensaje: m2
Index: 216, Obs: 23.64824, Tipo de mensaje: m2
Index: 217, Obs: 18.83621, Tipo de mensaje: m2
Index: 218, Obs: 16.13565, Tipo de mensaje: m2
Index: 219, Obs: 17.12860, Tipo de mensaje: m2
Index: 220, Obs: 24.93138, Tipo de mensaje: m2
Index: 221, Obs: 21.21191, Tipo de mensaje: m2
Index: 222, Obs: 20.94905, Tipo de mensaje: m2
Index: 223, Obs: 14.26786, Tipo de mensaje: m1
Index: 224, Obs: 23.03333, Tipo de mensaje: m2
Index: 225, Obs: 20.14476, Tipo de mensaje: m2
Index: 226, Obs: 17.16339, Tipo de mensaje: m2
Index: 227, Obs: 22.92820, Tipo de mensaje: m2
Index: 228, Obs: 26.48356, Tipo de mensaje: m2
Index: 229, Obs: 14.71685, Tipo de mensaje: m1
Index: 230, Obs: 17.53067, Tipo de mensaje: m2
Index: 231, Obs: 13.45906, Tipo de mensaje: m1
Index: 232, Obs: 21.05657, Tipo de mensaje: m2
Index: 233, Obs: 22.08940, Tipo de mensaje: m2
Index: 234, Obs: 19.11550, Tipo de mensaje: m2
Index: 235, Obs: 26.94510, Tipo de mensaje: m2
Index: 236, Obs: 25.42972, Tipo de mensaje: m2
Index: 237, Obs: 22.86058, Tipo de mensaje: m2
Index: 238, Obs: 23.87775, Tipo de mensaje: m2
Index: 239, Obs: 15.26600, Tipo de mensaje: m2
Index: 240, Obs: 17.78384, Tipo de mensaje: m2
Index: 241, Obs: 20.51882, Tipo de mensaje: m2
Index: 242, Obs: 20.84942, Tipo de mensaje: m2
Index: 243, Obs: 15.27258, Tipo de mensaje: m2
Index: 244, Obs: 18.46157, Tipo de mensaje: m2
Index: 245, Obs: 28.51373, Tipo de mensaje: m2
Index: 246, Obs: 13.55343, Tipo de mensaje: m1
Index: 247, Obs: 16.24090, Tipo de mensaje: m2
Index: 248, Obs: 20.83356, Tipo de mensaje: m2
Index: 249, Obs: 20.51619, Tipo de mensaje: m2
Index: 250, Obs: 14.04858, Tipo de mensaje: m1
Index: 251, Obs: 26.53530, Tipo de mensaje: m2
Index: 252, Obs: 22.01597, Tipo de mensaje: m2
Index: 253, Obs: 24.38090, Tipo de mensaje: m2
Index: 254, Obs: 28.00855, Tipo de mensaje: m2
Index: 255, Obs: 24.28352, Tipo de mensaje: m2
Index: 256, Obs: 21.00988, Tipo de mensaje: m2
Index: 257, Obs: 22.73027, Tipo de mensaje: m2
Index: 258, Obs: 18.56002, Tipo de mensaje: m2
Index: 259, Obs: 20.88609, Tipo de mensaje: m2
Index: 260, Obs: 11.70818, Tipo de mensaje: m1
Index: 261, Obs: 14.50625, Tipo de mensaje: m1
Index: 262, Obs: 12.17184, Tipo de mensaje: m1
Index: 263, Obs: 14.84403, Tipo de mensaje: m1
Index: 264, Obs: 25.07984, Tipo de mensaje: m2
Index: 265, Obs: 17.60100, Tipo de mensaje: m2
Index: 266, Obs: 19.10353, Tipo de mensaje: m2
Index: 267, Obs: 23.22421, Tipo de mensaje: m2
Index: 268, Obs: 19.34014, Tipo de mensaje: m2
Index: 269, Obs: 24.27328, Tipo de mensaje: m2
Index: 270, Obs: 27.02888, Tipo de mensaje: m2
Index: 271, Obs: 20.59885, Tipo de mensaje: m2
Index: 272, Obs: 22.64696, Tipo de mensaje: m2
Index: 273, Obs: 23.86615, Tipo de mensaje: m2
Index: 274, Obs: 19.84546, Tipo de mensaje: m2
Index: 275, Obs: 22.84159, Tipo de mensaje: m2
Index: 276, Obs: 22.45854, Tipo de mensaje: m2
Index: 277, Obs: 23.62426, Tipo de mensaje: m2
Index: 278, Obs: 16.34590, Tipo de mensaje: m2
Index: 279, Obs: 17.86760, Tipo de mensaje: m2
Index: 280, Obs: 19.79821, Tipo de mensaje: m2
Index: 281, Obs: 16.06820, Tipo de mensaje: m2
Index: 282, Obs: 12.02651, Tipo de mensaje: m1
Index: 283, Obs: 20.99704, Tipo de mensaje: m2
Index: 284, Obs: 22.58130, Tipo de mensaje: m2
Index: 285, Obs: 17.17683, Tipo de mensaje: m2
Index: 286, Obs: 20.46947, Tipo de mensaje: m2
Index: 287, Obs: 19.50616, Tipo de mensaje: m2
Index: 288, Obs: 16.68473, Tipo de mensaje: m2
Index: 289, Obs: 18.33410, Tipo de mensaje: m2
Index: 290, Obs: 20.85118, Tipo de mensaje: m2
Index: 291, Obs: 16.21539, Tipo de mensaje: m2
Index: 292, Obs: 24.57978, Tipo de mensaje: m2
Index: 293, Obs: 14.85814, Tipo de mensaje: m1
Index: 294, Obs: 18.74699, Tipo de mensaje: m2
Index: 295, Obs: 22.65429, Tipo de mensaje: m2
Index: 296, Obs: 16.04975, Tipo de mensaje: m2
Index: 297, Obs: 18.86850, Tipo de mensaje: m2
Index: 298, Obs: 15.84321, Tipo de mensaje: m2
Index: 299, Obs: 17.24417, Tipo de mensaje: m2
Index: 300, Obs: 24.61928, Tipo de mensaje: m2
Index: 301, Obs: 8.88844, Tipo de mensaje: m1
Index: 302, Obs: 23.35419, Tipo de mensaje: m2
Index: 303, Obs: 18.43407, Tipo de mensaje: m2
Index: 304, Obs: 14.67956, Tipo de mensaje: m1
Index: 305, Obs: 25.44703, Tipo de mensaje: m2
Index: 306, Obs: 11.53345, Tipo de mensaje: m1
Index: 307, Obs: 19.64923, Tipo de mensaje: m2
Index: 308, Obs: 15.12729, Tipo de mensaje: m2
Index: 309, Obs: 17.73063, Tipo de mensaje: m2
Index: 310, Obs: 26.41819, Tipo de mensaje: m2
Index: 311, Obs: 22.47736, Tipo de mensaje: m2
Index: 312, Obs: 20.70444, Tipo de mensaje: m2
Index: 313, Obs: 24.73797, Tipo de mensaje: m2
Index: 314, Obs: 11.53292, Tipo de mensaje: m1
Index: 315, Obs: 21.75422, Tipo de mensaje: m2
Index: 316, Obs: 29.23495, Tipo de mensaje: m2
Index: 317, Obs: 21.62400, Tipo de mensaje: m2
Index: 318, Obs: 26.96769, Tipo de mensaje: m2
Index: 319, Obs: 18.97540, Tipo de mensaje: m2
Index: 320, Obs: 27.02032, Tipo de mensaje: m2
Index: 321, Obs: 23.94795, Tipo de mensaje: m2
Index: 322, Obs: 26.48083, Tipo de mensaje: m2
Index: 323, Obs: 16.32040, Tipo de mensaje: m2
Index: 324, Obs: 22.64555, Tipo de mensaje: m2
Index: 325, Obs: 20.26184, Tipo de mensaje: m2
Index: 326, Obs: 20.38713, Tipo de mensaje: m2
Index: 327, Obs: 19.36660, Tipo de mensaje: m2
Index: 328, Obs: 20.62864, Tipo de mensaje: m2
Index: 329, Obs: 19.31170, Tipo de mensaje: m2
Index: 330, Obs: 19.41496, Tipo de mensaje: m2
Index: 331, Obs: 19.31567, Tipo de mensaje: m2
Index: 332, Obs: 22.10708, Tipo de mensaje: m2
Index: 333, Obs: 17.71544, Tipo de mensaje: m2
Index: 334, Obs: 16.95187, Tipo de mensaje: m2
Index: 335, Obs: 21.23833, Tipo de mensaje: m2
Index: 336, Obs: 20.95898, Tipo de mensaje: m2
Index: 337, Obs: 20.16266, Tipo de mensaje: m2
Index: 338, Obs: 17.96018, Tipo de mensaje: m2
Index: 339, Obs: 23.04132, Tipo de mensaje: m2
Index: 340, Obs: 23.08175, Tipo de mensaje: m2
Index: 341, Obs: 18.70119, Tipo de mensaje: m2
Index: 342, Obs: 22.67875, Tipo de mensaje: m2
Index: 343, Obs: 21.31594, Tipo de mensaje: m2
Index: 344, Obs: 23.33496, Tipo de mensaje: m2
Index: 345, Obs: 19.15337, Tipo de mensaje: m2
Index: 346, Obs: 12.96393, Tipo de mensaje: m1
Index: 347, Obs: 13.11957, Tipo de mensaje: m1
Index: 348, Obs: 23.30482, Tipo de mensaje: m2
Index: 349, Obs: 16.49539, Tipo de mensaje: m2
Index: 350, Obs: 21.82007, Tipo de mensaje: m2
Index: 351, Obs: 29.83161, Tipo de mensaje: m2
Index: 352, Obs: 18.78025, Tipo de mensaje: m2
Index: 353, Obs: 8.78636, Tipo de mensaje: m1
Index: 354, Obs: 24.19568, Tipo de mensaje: m2
Index: 355, Obs: 23.87803, Tipo de mensaje: m2
Index: 356, Obs: 16.60304, Tipo de mensaje: m2
Index: 357, Obs: 15.80473, Tipo de mensaje: m2
Index: 358, Obs: 13.64297, Tipo de mensaje: m1
Index: 359, Obs: 23.79895, Tipo de mensaje: m2
Index: 360, Obs: 20.85519, Tipo de mensaje: m2
Index: 361, Obs: 29.78151, Tipo de mensaje: m2
Index: 362, Obs: 20.54432, Tipo de mensaje: m2
Index: 363, Obs: 10.10905, Tipo de mensaje: m1
Index: 364, Obs: 15.09175, Tipo de mensaje: m2
Index: 365, Obs: 17.31980, Tipo de mensaje: m2
Index: 366, Obs: 23.45082, Tipo de mensaje: m2
Index: 367, Obs: 19.55512, Tipo de mensaje: m2
